CLAIM_MONTH,ACCIDENT_STATE,TOTAL_CLAIMS,AVERAGE_CLAIM,CLAIM_COUNT
2023-01,CA,2167,433.4,5
2023-01,FL,2505,626.25,4
2023-01,NY,6765,520.3846153846154,13
2023-01,TX,5253,583.6666666666666,9
2023-02,CA,1098,549.0,2
2023-02,FL,5966,596.6,10
2023-02,NY,4238,605.4285714285714,7
2023-02,TX,4417,490.77777777777777,9
2023-03,CA,5811,726.375,8
2023-03,FL,3774,471.75,8
2023-03,NY,6028,548.0,11
2023-03,TX,2485,621.25,4
2023-04,CA,1867,622.3333333333334,3
2023-04,FL,862,431.0,2
2023-04,NY,2457,819.0,3
2023-04,TX,1863,931.5,2
